id,name,lat,lng,formation,minerals,confidence,description,source_file,source_date
point_2,Barama River Alluvial - Point 2,7.704760619079739,-59.60507706076839,Floodplain deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,Geology And Gold Deposits_1755481947.txt,2025-08-29
point_3,Waini River Alluvial - Point 3,8.090226064035589,-59.624539647857056,Deltaic deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,Geology And Gold Deposits_1755481947.txt,2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.684687173279915,-58.47389215912267,Major river system,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Major river system,Geology And Gold Deposits_1755481947.txt,2025-08-29
point_5,Potaro River Alluvial - Point 5,5.118282677721021,-59.388381099325606,Highland river deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Highland river deposits,Geology And Gold Deposits_1755481947.txt,2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.664661944521595,-58.997056845312514,River alluvial deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,"Reports on Area between Arakaka and Kokerit, North West District 1938_1755483531.txt",2025-08-29
point_2,Barama River Alluvial - Point 2,7.733516782528302,-59.79259730518116,Floodplain deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,"Reports on Area between Arakaka and Kokerit, North West District 1938_1755483531.txt",2025-08-29
point_3,Waini River Alluvial - Point 3,8.268959033993601,-59.81758907365791,Deltaic deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,"Reports on Area between Arakaka and Kokerit, North West District 1938_1755483531.txt",2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.988137695675849,-58.42664662245333,Major river system,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. Major river system,"Reports on Area between Arakaka and Kokerit, North West District 1938_1755483531.txt",2025-08-29
point_5,Potaro River Alluvial - Point 5,5.300561958739619,-59.42276107513517,Highland river deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. Highland river deposits,"Reports on Area between Arakaka and Kokerit, North West District 1938_1755483531.txt",2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.396787161415557,-58.92898517778694,River alluvial deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,Reports on a Geological Reconnaissance Survey of part of the Noth-west District_1755482400.txt,2025-08-29
point_2,Barama River Alluvial - Point 2,7.73100851245734,-59.88145382225878,Floodplain deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,Reports on a Geological Reconnaissance Survey of part of the Noth-west District_1755482400.txt,2025-08-29
point_3,Waini River Alluvial - Point 3,8.067810944058893,-59.832589610000355,Deltaic deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,Reports on a Geological Reconnaissance Survey of part of the Noth-west District_1755482400.txt,2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.918796861469286,-58.40610350668576,Major river system,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Major river system,Reports on a Geological Reconnaissance Survey of part of the Noth-west District_1755482400.txt,2025-08-29
point_5,Potaro River Alluvial - Point 5,5.135806797332353,-59.240505620232035,Highland river deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Highland river deposits,Reports on a Geological Reconnaissance Survey of part of the Noth-west District_1755482400.txt,2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.454759595599773,-58.70102467013623,River alluvial deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,Report on an area between Quartzstone head Aremu Mine and the Puruni River near Peters mine_1755483254.txt,2025-08-29
point_2,Barama River Alluvial - Point 2,7.62898325549201,-59.81849881532231,Floodplain deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,Report on an area between Quartzstone head Aremu Mine and the Puruni River near Peters mine_1755483254.txt,2025-08-29
point_3,Waini River Alluvial - Point 3,8.301090503141358,-59.87628922576788,Deltaic deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,Report on an area between Quartzstone head Aremu Mine and the Puruni River near Peters mine_1755483254.txt,2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.922379724366003,-58.37743282445714,Major river system,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Major river system,Report on an area between Quartzstone head Aremu Mine and the Puruni River near Peters mine_1755483254.txt,2025-08-29
point_5,Potaro River Alluvial - Point 5,5.384840792519915,-59.271028518815505,Highland river deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Highland river deposits,Report on an area between Quartzstone head Aremu Mine and the Puruni River near Peters mine_1755483254.txt,2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.65652039350535,-58.930044570002025,River alluvial deposits,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,The Gold Deposits of the Cuyuni River_1755482086.txt,2025-08-29
point_2,Barama River Alluvial - Point 2,7.705783148933233,-59.92185306979012,Floodplain deposits,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,The Gold Deposits of the Cuyuni River_1755482086.txt,2025-08-29
point_3,Waini River Alluvial - Point 3,8.00186109318756,-59.854226375149146,Deltaic deposits,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,The Gold Deposits of the Cuyuni River_1755482086.txt,2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.937878916923973,-58.533066247378606,Major river system,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Diamond']",high,Generated from geological analysis. Major river system,The Gold Deposits of the Cuyuni River_1755482086.txt,2025-08-29
point_5,Potaro River Alluvial - Point 5,5.2068802917288135,-59.30936448328651,Highland river deposits,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Diamond']",high,Generated from geological analysis. Highland river deposits,The Gold Deposits of the Cuyuni River_1755482086.txt,2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.375655436042268,-58.95679964784021,River alluvial deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,Explantory Note on the Geological Map of the Geoete_1755483355.txt,2025-08-29
point_2,Barama River Alluvial - Point 2,7.806852868516434,-59.86824672374477,Floodplain deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,Explantory Note on the Geological Map of the Geoete_1755483355.txt,2025-08-29
point_3,Waini River Alluvial - Point 3,8.213912563922216,-59.940999839589445,Deltaic deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,Explantory Note on the Geological Map of the Geoete_1755483355.txt,2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.896845231601905,-58.52666650319843,Major river system,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Major river system,Explantory Note on the Geological Map of the Geoete_1755483355.txt,2025-08-29
point_5,Potaro River Alluvial - Point 5,5.148612502756118,-59.28340823301248,Highland river deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Highland river deposits,Explantory Note on the Geological Map of the Geoete_1755483355.txt,2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.368207753242723,-58.60817380149077,River alluvial deposits,"['Gold', 'Iron']",high,Generated from geological analysis. River alluvial deposits,"Report on a Short visits to Marudi Mountain gold working,Rupununi District , 1934_1755482362.txt",2025-08-29
point_2,Barama River Alluvial - Point 2,7.880719683992902,-59.6811523895309,Floodplain deposits,"['Gold', 'Iron']",high,Generated from geological analysis. Floodplain deposits,"Report on a Short visits to Marudi Mountain gold working,Rupununi District , 1934_1755482362.txt",2025-08-29
point_3,Waini River Alluvial - Point 3,8.292167045836301,-59.9709011750638,Deltaic deposits,"['Gold', 'Iron']",high,Generated from geological analysis. Deltaic deposits,"Report on a Short visits to Marudi Mountain gold working,Rupununi District , 1934_1755482362.txt",2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.742917500896325,-58.570868105266335,Major river system,"['Gold', 'Iron']",high,Generated from geological analysis. Major river system,"Report on a Short visits to Marudi Mountain gold working,Rupununi District , 1934_1755482362.txt",2025-08-29
point_5,Potaro River Alluvial - Point 5,5.267723071490972,-59.3094817137089,Highland river deposits,"['Gold', 'Iron']",high,Generated from geological analysis. Highland river deposits,"Report on a Short visits to Marudi Mountain gold working,Rupununi District , 1934_1755482362.txt",2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.469971395378747,-58.758280528427925,River alluvial deposits,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Titanium', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,Report explanatory of the geology of essequibo potaro konawaruk and demerara river goldfield._1755482564.txt,2025-08-29
point_2,Barama River Alluvial - Point 2,7.656816990972441,-59.829256924497905,Floodplain deposits,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Titanium', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,Report explanatory of the geology of essequibo potaro konawaruk and demerara river goldfield._1755482564.txt,2025-08-29
point_3,Waini River Alluvial - Point 3,8.08192816459357,-59.98799634025499,Deltaic deposits,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Titanium', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,Report explanatory of the geology of essequibo potaro konawaruk and demerara river goldfield._1755482564.txt,2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.679494818597408,-58.60860661730101,Major river system,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Titanium', 'Diamond']",high,Generated from geological analysis. Major river system,Report explanatory of the geology of essequibo potaro konawaruk and demerara river goldfield._1755482564.txt,2025-08-29
point_5,Potaro River Alluvial - Point 5,5.026581944525311,-59.35320440735231,Highland river deposits,"['Gold', 'Manganese', 'Iron', 'Copper', 'Lead', 'Titanium', 'Diamond']",high,Generated from geological analysis. Highland river deposits,Report explanatory of the geology of essequibo potaro konawaruk and demerara river goldfield._1755482564.txt,2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.589042186313109,-58.65027027960387,River alluvial deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,"Manganese deposits in the north west district, British Guiana._1755482872.txt",2025-08-29
point_2,Barama River Alluvial - Point 2,7.732298610467482,-59.79829736400592,Floodplain deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,"Manganese deposits in the north west district, British Guiana._1755482872.txt",2025-08-29
point_3,Waini River Alluvial - Point 3,8.393431414139226,-59.64294029688509,Deltaic deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,"Manganese deposits in the north west district, British Guiana._1755482872.txt",2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.733606742803456,-58.457839476390504,Major river system,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. Major river system,"Manganese deposits in the north west district, British Guiana._1755482872.txt",2025-08-29
point_5,Potaro River Alluvial - Point 5,5.010602363153215,-59.48786235115481,Highland river deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Bauxite', 'Diamond']",high,Generated from geological analysis. Highland river deposits,"Manganese deposits in the north west district, British Guiana._1755482872.txt",2025-08-29
